date,etf_open,etf_close,signal_probability,research_target_weight,next_target_weight,executed_target_weight,shadow_target_weight,quality_gate_passed,contribution,total_contributions,strategy_cash,strategy_shares,strategy_portfolio_value,strategy_nav,baseline_cash,baseline_shares,baseline_portfolio_value,baseline_nav,shadow_cash,shadow_shares,shadow_portfolio_value,shadow_nav
2026-07-20,1.34400000,1.28500000,0.53972005,0.50000000,1.00000000,1.00000000,0.00000000,False,15000.00000000,15000.00000000,69.14080000,11100,14332.64080000,1.00000000,69.14080000,11100,14332.64080000,1.00000000,15000.00000000,0,15000.00000000,1.00000000
2026-07-21,1.28800000,1.33900000,0.54412782,0.50000000,1.00000000,1.00000000,0.00000000,True,0.00000000,15000.00000000,69.14080000,11100,14932.04080000,1.04182063,69.14080000,11100,14932.04080000,1.04182063,15000.00000000,0,15000.00000000,1.00000000
2026-07-22,1.32500000,1.31000000,0.53775295,0.50000000,1.00000000,1.00000000,0.20000000,False,0.00000000,15000.00000000,69.14080000,11100,14610.14080000,1.01936140,69.14080000,11100,14610.14080000,1.01936140,12078.54250000,2200,14960.54250000,0.99736950
2026-07-23,1.29000000,1.29800000,0.53400970,0.50000000,1.00000000,1.00000000,0.00000000,True,0.00000000,15000.00000000,69.14080000,11100,14476.94080000,1.01006793,69.14080000,11100,14476.94080000,1.01006793,14910.12350000,0,14910.12350000,0.99400823
2026-07-24,1.26100000,1.25100000,0.53661024,0.50000000,1.00000000,1.00000000,0.20000000,False,0.00000000,15000.00000000,69.14080000,11100,13955.24080000,0.97366850,69.14080000,11100,13955.24080000,0.97366850,12003.37335000,2300,14880.67335000,0.99204489
2026-07-27,1.25100000,1.29500000,0.53443707,0.50000000,1.00000000,1.00000000,0.00000000,True,0.00000000,15000.00000000,69.14080000,11100,14443.64080000,1.00774456,69.14080000,11100,14443.64080000,1.00774456,14874.23470000,0,14874.23470000,0.99161565
2026-07-28,1.27600000,1.27300000,0.52711045,0.50000000,1.00000000,1.00000000,0.20000000,False,0.00000000,15000.00000000,69.14080000,11100,14199.44080000,0.99070653,69.14080000,11100,14199.44080000,0.99070653,11932.96730000,2300,14860.86730000,0.99072449
2026-07-29,1.27400000,1.28300000,0.53462275,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,15000.00000000,69.14080000,11100,14310.44080000,0.99845109,69.14080000,11100,14310.44080000,0.99845109,14856.70220000,0,14856.70220000,0.99044681
2026-07-30,1.27100000,1.24000000,0.53956857,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,15000.00000000,69.14080000,11100,13833.14080000,0.96514948,69.14080000,11100,13833.14080000,0.96514948,14856.70220000,0,14856.70220000,0.99044681
2026-07-31,1.28500000,1.31900000,0.54381041,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,15000.00000000,69.14080000,11100,14710.04080000,1.02633150,69.14080000,11100,14710.04080000,1.02633150,14856.70220000,0,14856.70220000,0.99044681
2026-08-03,1.32400000,1.35000000,0.53501866,0.50000000,1.00000000,1.00000000,0.00000000,False,1000.00000000,16000.00000000,4.41120000,11900,16069.41120000,1.05140507,4.41120000,11900,16069.41120000,1.05140507,15856.70220000,0,15856.70220000,0.99044681
2026-08-04,1.35800000,1.37800000,0.54318579,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,16402.61120000,1.07320600,4.41120000,11900,16402.61120000,1.07320600,15856.70220000,0,15856.70220000,0.99044681
2026-08-05,1.38000000,1.41500000,0.54033417,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,16842.91120000,1.10201438,4.41120000,11900,16842.91120000,1.10201438,15856.70220000,0,15856.70220000,0.99044681
2026-08-06,1.40200000,1.40200000,0.53306715,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,16688.21120000,1.09189252,4.41120000,11900,16688.21120000,1.09189252,15856.70220000,0,15856.70220000,0.99044681
2026-08-07,1.40500000,1.41700000,0.53016874,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,16866.71120000,1.10357159,4.41120000,11900,16866.71120000,1.10357159,15856.70220000,0,15856.70220000,0.99044681
2026-08-10,1.42300000,1.40200000,0.53016874,0.50000000,1.00000000,1.00000000,0.00000000,False,0.00000000,16000.00000000,4.41120000,11900,16688.21120000,1.09189252,4.41120000,11900,16688.21120000,1.09189252,15856.70220000,0,15856.70220000,0.99044681
